id,author,title,series,series_index,cover_path,is_read,language
443,Alison Espach,The Wedding People,,1.0,C:\Users\debon\Calibre Bibliotheek\Alison Espach/The Wedding People (443)\cover.jpg,0,eng
1036,Alix E. Harrow,The Ten Thousand Doors of January,,1.0,C:\Users\debon\Calibre Bibliotheek\Alix E. Harrow/The Ten Thousand Doors of January (1036)\cover.jpg,0,eng
385,Allie Brosh,"Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened",,1.0,C:\Users\debon\Calibre Bibliotheek\Allie Brosh/Hyperbole and a Half_ Unfortunate S (385)\cover.jpg,0,eng
263,Allie Brosh,Solutions and Other Problems,,1.0,C:\Users\debon\Calibre Bibliotheek\Allie Brosh/Solutions and Other Problems (263)\cover.jpg,0,eng
734,"Amal El-Mohtar, Max Gladstone",This Is How You Lose the Time War,,1.0,C:\Users\debon\Calibre Bibliotheek\Amal El-Mohtar/This Is How You Lose the Time War (734)\cover.jpg,0,eng
745,Amanda Peters,The Berry Pickers,,1.0,C:\Users\debon\Calibre Bibliotheek\Amanda Peters/The Berry Pickers (745)\cover.jpg,0,eng
1191,Amber Smith,The Way I Am Now,The Way I Used to Be,2.0,C:\Users\debon\Calibre Bibliotheek\Amber Smith/The Way I Am Now (1191)\cover.jpg,0,eng
259,Amber Smith,The Way I Used to Be,The Way I Used to Be,1.0,C:\Users\debon\Calibre Bibliotheek\Amber Smith/The Way I Used to Be (259)\cover.jpg,0,eng
719,Ana Huang,King of Envy (Kings of Sin Book 5),Kings of Sin,5.0,C:\Users\debon\Calibre Bibliotheek\Ana Huang/King of Envy (Kings of Sin Book 5) (719)\cover.jpg,0,eng
716,Ana Huang,King of Greed,Kings of Sin,3.0,C:\Users\debon\Calibre Bibliotheek\Ana Huang/King of Greed (716)\cover.jpg,0,eng
717,Ana Huang,King of Pride,Kings of Sin,2.0,C:\Users\debon\Calibre Bibliotheek\Ana Huang/King of Pride (717)\cover.jpg,0,eng
715,Ana Huang,King of Sloth: A Forced Proximity Romance (Kings of Sin Book 4),Kings of Sin,4.0,C:\Users\debon\Calibre Bibliotheek\Ana Huang/King of Sloth_ A Forced Proximity R (715)\cover.jpg,0,eng
714,Ana Huang,King of Wrath: from the bestselling author of the Twisted series (Kings of Sin),Kings of Sin,1.0,C:\Users\debon\Calibre Bibliotheek\Ana Huang/King of Wrath_ from the bestselling (714)\cover.jpg,0,eng
16,Ana Huang,Twisted Games: A Forbidden Royal Bodyguard Romance,Twisted,2.0,C:\Users\debon\Calibre Bibliotheek\Ana Huang/Twisted Games_ A Forbidden Royal Bod (16)\cover.jpg,0,eng
18,Ana Huang,Twisted Hate: An Enemies with Benefits Romance,Twisted,3.0,C:\Users\debon\Calibre Bibliotheek\Ana Huang/Twisted Hate_ An Enemies with Benefi (18)\cover.jpg,0,eng
252,Ana Huang,Twisted Lies: A Fake Dating Romance,Twisted,4.0,C:\Users\debon\Calibre Bibliotheek\Ana Huang/Twisted Lies_ A Fake Dating Romance (252)\cover.jpg,0,eng
14,Ana Huang,Twisted Love: A Brother's Best Friend Romance,Twisted,1.0,C:\Users\debon\Calibre Bibliotheek\Ana Huang/Twisted Love_ A Brother's Best Frien (14)\cover.jpg,0,eng
1345,Anders Hansen,Hjärnstark,,1.0,C:\Users\debon\Calibre Bibliotheek\Anders Hansen/Hjarnstark (1345)\cover.jpg,0,swe
1048,Andi Ewington,The Hero Interviews,,1.0,C:\Users\debon\Calibre Bibliotheek\Andi Ewington/The Hero Interviews (1048)\cover.jpg,0,eng
